temperature,parser,content_type,scheduled_trials,valid_trials,correct_trials,trial_accuracy,trial_accuracy_ci95_low,trial_accuracy_ci95_high,items,modal_correct_items,modal_item_accuracy,mean_repetition_stability
0.0,published,consistent,474,474,332,0.70042194092827,0.6577075727387971,0.7399138485353578,158,111,0.7025316455696202,0.9978902953586497
0.0,published,inconsistent,306,306,165,0.5392156862745098,0.4832253811676025,0.5942335879818065,102,55,0.5392156862745098,1.0
0.0,published,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,1.0
0.0,published,symbol,285,285,209,0.7333333333333333,0.67913774818645,0.7813224660190294,95,69,0.7263157894736842,0.9929824561403509
0.0,strict,consistent,474,474,332,0.70042194092827,0.6577075727387971,0.7399138485353578,158,111,0.7025316455696202,0.9978902953586497
0.0,strict,inconsistent,306,306,165,0.5392156862745098,0.4832253811676025,0.5942335879818065,102,55,0.5392156862745098,1.0
0.0,strict,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,1.0
0.0,strict,symbol,285,285,209,0.7333333333333333,0.67913774818645,0.7813224660190294,95,69,0.7263157894736842,0.9929824561403509
0.1,published,consistent,474,474,333,0.7025316455696202,0.6598828666485089,0.741924043270637,158,111,0.7025316455696202,0.9936708860759493
0.1,published,inconsistent,306,306,164,0.5359477124183006,0.479970837021177,0.5910332180324478,102,55,0.5392156862745098,0.9934640522875816
0.1,published,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,1.0
0.1,published,symbol,285,285,205,0.7192982456140351,0.6644799089640872,0.7682834502515892,95,69,0.7263157894736842,0.9859649122807018
0.1,strict,consistent,474,474,333,0.7025316455696202,0.6598828666485089,0.741924043270637,158,111,0.7025316455696202,0.9936708860759493
0.1,strict,inconsistent,306,306,164,0.5359477124183006,0.479970837021177,0.5910332180324478,102,55,0.5392156862745098,0.9934640522875816
0.1,strict,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,1.0
0.1,strict,symbol,285,285,205,0.7192982456140351,0.6644799089640872,0.7682834502515892,95,69,0.7263157894736842,0.9859649122807018
0.2,published,consistent,474,474,332,0.70042194092827,0.6577075727387971,0.7399138485353578,158,111,0.7025316455696202,0.989451476793249
0.2,published,inconsistent,306,306,165,0.5392156862745098,0.4832253811676025,0.5942335879818065,102,55,0.5392156862745098,0.9836601307189542
0.2,published,others,33,33,26,0.7878787878787878,0.6224835500784931,0.8932397846697919,11,9,0.8181818181818182,0.9696969696969696
0.2,published,symbol,285,285,204,0.7157894736842105,0.6608251664798851,0.7650139789883402,95,68,0.7157894736842105,0.9929824561403509
0.2,strict,consistent,474,474,332,0.70042194092827,0.6577075727387971,0.7399138485353578,158,111,0.7025316455696202,0.989451476793249
0.2,strict,inconsistent,306,306,165,0.5392156862745098,0.4832253811676025,0.5942335879818065,102,55,0.5392156862745098,0.9836601307189542
0.2,strict,others,33,33,26,0.7878787878787878,0.6224835500784931,0.8932397846697919,11,9,0.8181818181818182,0.9696969696969696
0.2,strict,symbol,285,285,204,0.7157894736842105,0.6608251664798851,0.7650139789883402,95,68,0.7157894736842105,0.9929824561403509
0.3,published,consistent,474,474,331,0.6983122362869199,0.6555333060930588,0.737902626536105,158,111,0.7025316455696202,0.9725738396624471
0.3,published,inconsistent,306,306,165,0.5392156862745098,0.4832253811676025,0.5942335879818065,102,54,0.5294117647058824,0.9738562091503268
0.3,published,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,1.0
0.3,published,symbol,285,285,203,0.712280701754386,0.6571742236963677,0.7617407080244069,95,67,0.7052631578947368,0.9789473684210527
0.3,strict,consistent,474,474,331,0.6983122362869199,0.6555333060930588,0.737902626536105,158,111,0.7025316455696202,0.9725738396624471
0.3,strict,inconsistent,306,306,165,0.5392156862745098,0.4832253811676025,0.5942335879818065,102,54,0.5294117647058824,0.9738562091503268
0.3,strict,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,1.0
0.3,strict,symbol,285,285,203,0.712280701754386,0.6571742236963677,0.7617407080244069,95,67,0.7052631578947368,0.9789473684210527
0.4,published,consistent,474,474,325,0.6856540084388185,0.6425089463070879,0.7258140544521292,158,109,0.689873417721519,0.9767932489451477
0.4,published,inconsistent,306,306,162,0.5294117647058824,0.47346884637172165,0.5846253804903351,102,53,0.5196078431372549,0.9607843137254902
